dt,date,time,dayoftheweek,latitude,longitude,site_name,site_code,source_id,PM1,PM10,PM25,AQI,NO2,O3,SO2
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.5324054617809,-0.217718908639377,Brent - ARK Franklin Primary Academy,OPENAQ_Brent---ARK-Franklin-Primary-Academy225713,OPENAQ,,2.6,,1.0,43.3,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.410039,-0.127523,Croydon - Norbury Manor,OPENAQ_Croydon---Norbury-Manor225824,OPENAQ,,,6.0,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.45309,-0.944067,Reading New Town,OPENAQ_Reading-New-Town2479,OPENAQ,,7.0,4.0,2.0,12.0,41.0,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.480178972651,-0.62380842514,Windsor and Maidenhead - Clarence Road,OPENAQ_Windsor-and-Maidenhead---Clarence-Road225843,OPENAQ,,,,1.0,0.9,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.062126,-0.301095,Horsham,OPENAQ_Horsham73057,OPENAQ,5.8,7.4,7.1,2.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.411349,-0.12311,Croydon - Norbury,OPENAQ_Croydon---Norbury225709,OPENAQ,,,,1.0,7.7,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.07733,-0.053755,"Garden Mead, West Hoathly","OPENAQ_Garden-Mead,-West-Hoathly234485",OPENAQ,2.5,11.9,11.0,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.149617,-1.438228,Chilbolton Observatory,OPENAQ_Chilbolton-Observatory2424,OPENAQ,,6.0,4.0,1.0,1.0,55.0,3.0
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.132645,0.891155,Ashford,OPENAQ_Ashford73228,OPENAQ,7.1,5.9,5.5,2.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.598892,-0.710715,Sedgmoor Road,OPENAQ_Sedgmoor-Road269287,OPENAQ,0.0,0.0,0.0,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.425286,-0.345606,London Teddington Bushy Park,OPENAQ_London-Teddington-Bushy-Park158,OPENAQ,,15.0,3.0,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.53085,-0.292488,Ealing - Hanger Lane Gyratory,OPENAQ_Ealing---Hanger-Lane-Gyratory225733,OPENAQ,,4.1,,1.0,12.8,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.555126,-0.139495,Eleanor Palmer Primary School,OPENAQ_Eleanor-Palmer-Primary-School222799,OPENAQ,3.1,5.9,5.1,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.472504,-0.012381,Greenwich - Blackheath,OPENAQ_Greenwich---Blackheath225710,OPENAQ,,5.8,,1.0,7.0,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.5236078191481,-0.265502631799754,Ealing - Western Avenue,OPENAQ_Ealing---Western-Avenue225744,OPENAQ,,9.4,,1.0,19.7,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.522287,-0.125848,Camden - Bloomsbury,OPENAQ_Camden---Bloomsbury148,OPENAQ,,10.0,7.0,1.0,1.9,35.0,1.0
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.315407,0.884635,Faversham,OPENAQ_Faversham228316,OPENAQ,5.3,4.7,4.5,1.0,,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.529389,0.132857,Barking and Dagenham - Scrattons Farm,OPENAQ_Barking-and-Dagenham---Scrattons-Farm225727,OPENAQ,,8.2,,1.0,5.7,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.405546,0.018882,Bromley - Harwood Avenue,OPENAQ_Bromley---Harwood-Avenue225725,OPENAQ,,5.0,4.0,1.0,41.5,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.5173675146177,-0.1201947113171,Camden - Holborn (Bee Midtown),OPENAQ_Camden---Holborn-(Bee-Midtown)225718,OPENAQ,,,,1.0,13.7,,
1645516754,2022-02-22,07:59:14.996138,Tuesday,51.53426,-0.051441,Sewardstone Rd,OPENAQ_Sewardstone-Rd225380,OPENAQ,2.5,7.1,6.0,1.0,,,
